姓名,三分命中率,篮板,得分,投篮命中率,抢断,场次,盖帽,助攻,场均时长,薪资
邢波,16.9%,7.6,19,21.1%,0.76,48,0.29,2.4,32.8,2039
刘倩,23.1%,1.4,23,24.9%,0.13,8,0.08,3.6,24.1,3818
罗建军,7.1%,5.1,11,31.5%,0.93,64,0.85,5.0,9.4,2692
程玉华,24.3%,1.9,15,30.3%,0.24,58,0.87,4.7,15.1,4228
游桂珍,38.2%,4.1,1,7.4%,1.03,44,0.45,1.5,33.7,4008
王彬,29.3%,0.8,4,43.0%,0.96,75,0.65,6.6,9.3,4085
张小红,3.7%,2.2,17,2.4%,0.47,30,0.03,6.0,8.3,3263
蒋浩,36.8%,3.6,24,48.5%,1.09,18,0.46,5.9,4.5,3726
黄瑜,26.7%,0.1,24,56.6%,0.71,29,0.81,6.0,27.2,4157
杨旭,48.1%,8.2,3,6.2%,0.03,28,0.00,6.5,30.2,1046
李晨,30.0%,6.8,0,55.4%,0.89,50,0.26,5.7,6.0,2667
李博,21.1%,9.4,12,31.2%,0.96,3,0.50,3.1,19.4,3633
和梅,29.2%,9.9,29,32.2%,0.53,15,0.47,1.1,15.5,4578
饶建军,28.0%,4.2,11,7.4%,0.01,2,0.74,4.8,25.8,4174
韩岩,29.3%,4.9,28,51.4%,0.84,9,0.88,6.4,29.0,3578
何婷婷,49.8%,2.1,20,35.9%,0.16,56,0.99,5.3,14.8,2743
张建军,44.8%,0.8,6,48.8%,0.80,15,0.62,2.3,21.6,4935
张冬梅,49.6%,1.7,27,21.2%,0.36,57,0.99,3.6,15.5,3839
韦丽华,22.4%,8.7,0,26.6%,0.40,43,0.88,1.6,7.9,1521
吴明,4.0%,1.6,0,26.6%,0.90,24,0.25,6.1,6.1,1694
张玉梅,45.9%,5.6,9,14.6%,0.70,32,0.28,1.3,18.3,4736
马建国,4.0%,0.9,6,36.6%,0.06,20,0.90,2.7,12.9,4618
徐华,42.2%,5.9,26,48.4%,0.36,49,0.78,1.9,29.5,2945
萧桂芳,0.8%,4.2,2,0.8%,1.03,43,0.23,5.7,2.6,2464
孙瑜,42.0%,5.3,21,7.6%,0.98,29,0.81,0.1,24.2,4051
李文,30.3%,9.8,13,58.9%,0.69,67,0.89,3.3,33.5,2830
王瑞,44.4%,8.4,10,40.8%,0.19,8,0.42,4.6,2.6,3483
毛兰英,16.1%,7.6,30,19.1%,1.19,32,0.34,6.8,22.7,1294
胡文,46.9%,0.5,27,53.7%,1.15,27,0.94,1.3,17.7,2190
董玲,46.6%,4.0,13,11.9%,0.06,23,0.94,2.5,3.5,4612
张秀荣,11.6%,1.3,22,20.8%,1.06,47,0.74,4.5,5.3,3214
陈秀荣,0.6%,5.2,3,20.0%,1.04,50,0.68,6.2,29.7,1299
彭军,49.3%,8.5,13,44.4%,0.33,1,0.67,3.1,3.6,2042
孟雷,38.3%,9.1,14,24.1%,0.75,68,0.10,6.0,10.9,3281
周雪,48.4%,9.6,22,15.5%,0.57,14,0.91,6.4,15.7,2779
马刚,2.1%,7.5,21,1.9%,0.87,33,0.77,4.2,7.7,1418
赵玉梅,34.7%,6.1,25,36.6%,0.40,3,0.65,6.6,24.4,1594
张桂珍,3.1%,4.7,23,22.5%,0.47,72,0.01,2.5,22.0,1451
李丹丹,20.9%,8.6,21,33.7%,1.10,33,0.04,1.4,26.2,4047
余瑜,10.6%,0.9,10,5.8%,0.17,67,0.64,4.4,17.4,1983
张玉华,12.2%,2.1,24,23.5%,1.10,57,0.23,3.7,23.6,2136
胡淑珍,28.7%,8.4,7,28.1%,0.54,75,0.14,4.5,9.9,3573
周杨,6.1%,1.8,2,20.9%,0.15,45,0.40,1.6,31.0,1637
