姓名,三分命中率,篮板,得分,投篮命中率,抢断,场次,盖帽,助攻,场均时长,薪资
邓柳,13.6%,4.2,10,16.7%,0.15,68,0.50,0.6,5.2,1152
熊凤兰,40.7%,8.1,8,37.4%,0.39,51,0.35,1.0,28.4,1295
蔡军,12.9%,9.5,0,59.0%,0.93,59,0.29,3.8,11.1,1608
林秀云,20.9%,2.2,17,27.0%,0.20,63,0.27,2.0,26.5,3466
张丽娟,1.0%,1.5,6,43.7%,0.27,75,0.98,0.5,18.3,3253
黄燕,3.1%,2.3,12,57.0%,0.46,56,0.55,5.6,23.3,1846
赵桂香,43.8%,3.7,20,21.6%,1.12,1,0.76,4.0,3.0,4098
潘冬梅,43.8%,8.8,13,10.8%,0.89,3,0.54,4.8,9.4,3800
杨静,39.0%,4.3,21,22.1%,0.17,18,0.40,6.0,13.3,2153
陈文,45.3%,2.1,3,55.1%,0.95,1,0.88,1.9,29.4,3395
罗丽丽,19.3%,9.0,9,4.9%,0.39,46,0.81,3.0,10.8,1874
邱秀梅,43.5%,7.8,13,37.5%,0.62,19,0.46,6.7,21.5,1585
姜丽娟,34.4%,0.7,19,47.3%,0.07,53,0.92,4.5,19.3,1916
林超,44.6%,9.9,8,57.5%,1.15,54,0.03,5.7,26.8,1796
汤欢,24.6%,2.8,27,37.3%,1.07,16,0.12,4.5,21.5,4344
田建军,49.1%,0.1,23,28.5%,0.76,34,0.16,0.3,22.7,4000
韩林,30.7%,3.5,27,21.9%,0.74,22,0.48,3.7,1.9,4715
吕文,9.9%,8.1,17,48.9%,0.42,68,0.89,0.8,32.0,1065
刘宁,40.9%,5.1,8,50.7%,0.19,22,0.61,1.0,19.6,3059
刘欣,2.5%,4.8,21,14.2%,0.38,45,0.09,5.3,15.9,1442
周艳,33.9%,7.1,7,57.4%,0.83,15,0.15,4.8,31.2,3642
李桂花,40.6%,6.3,25,16.2%,0.07,53,0.16,4.0,25.9,1542
王丹,7.5%,1.1,7,29.8%,1.16,9,0.69,2.1,6.5,4661
石峰,11.4%,5.6,21,29.6%,0.69,55,0.32,6.0,25.2,4801
王兵,34.7%,7.4,1,12.7%,1.14,37,0.51,4.2,16.8,2364
安英,1.5%,8.2,7,28.9%,0.22,72,0.46,4.6,27.8,1466
刘丹丹,48.0%,0.8,15,14.4%,0.83,45,0.61,4.7,14.8,1530
李瑞,17.5%,6.4,7,13.2%,1.11,41,0.40,3.2,16.3,4465
陈洁,10.1%,2.2,17,58.3%,1.06,29,0.77,3.4,3.2,4473
霍淑珍,33.1%,1.1,5,32.7%,0.44,1,0.18,0.7,1.9,2926
王璐,49.8%,1.0,16,22.1%,0.34,56,0.61,7.0,20.8,1318
彭秀珍,14.3%,9.4,0,31.8%,0.12,44,0.02,4.3,12.4,3975
李丽,8.5%,7.8,30,59.0%,0.89,35,0.95,0.9,21.0,1774
胡鹏,45.6%,9.5,9,46.5%,0.22,14,0.79,3.5,24.6,2493
黄桂芝,29.2%,1.4,0,53.1%,0.65,68,0.78,0.0,11.0,2871
周杨,4.4%,5.3,2,47.4%,0.06,42,0.34,5.3,18.6,1009
黎晶,44.3%,4.2,2,58.0%,0.32,55,1.00,6.9,13.8,3808
陶婷,8.0%,2.3,16,14.3%,0.05,24,0.78,0.1,8.6,4459
陈建国,32.2%,9.6,10,52.9%,1.12,67,0.37,5.0,11.6,2299
王金凤,19.9%,5.4,6,59.4%,0.48,20,0.55,6.3,7.1,3848
邵秀华,22.0%,6.0,11,41.9%,0.58,11,0.53,1.7,17.8,4613
